Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
1,Eddie Alvarez,8,2918,Rafael dos Anjos (2016-07-07)
2,Daniel Cormier,12,2891,Jon Jones (2017-07-29)
3,Blagoy Ivanov,1,2888,Junior dos Santos (2018-07-14)
4,Luke Rockhold,9,2876,Chris Weidman (2015-12-12)
5,Stefan Sekulić,1,2851,Ramazan Emeev (2018-09-15)
6,Chris Weidman,13,2838,Anderson Silva (2013-07-06)
7,Yoel Romero,11,2837,Robert Whittaker (2018-06-09)
8,Jose Aldo,12,2830,Max Holloway (2017-12-02)
9,Tyron Woodley,12,2825,Robbie Lawler (2016-07-30)
10,Justin Gaethje,4,2807,Eddie Alvarez (2017-12-02)
11,Volkan Oezdemir,4,2799,Daniel Cormier (2018-01-20)
12,Gilbert Melendez,6,2790,Benson Henderson (2013-04-20)
13,Benson Henderson,14,2787,Donald Cerrone (2015-01-18)
14,Anthony Pettis,15,2784,Tony Ferguson (2018-10-06)
15,Carlo Pedersoli,1,2777,Alex Oliveira (2018-09-22)
16,Stipe Miocic,15,2773,Daniel Cormier (2018-07-07)
17,Ronaldo Souza,11,2773,Vitor Belfort (2016-05-14)
18,James Toney,1,2768,Randy Couture (2010-08-28)
19,Chael Sonnen,14,2761,Jon Jones (2013-04-27)
20,Jon Jones,18,2758,Daniel Cormier (2017-07-29)
21,Conor McGregor,11,2755,Jose Aldo (2015-12-12)
22,Alistair Overeem,14,2753,Stipe Miocic (2016-09-10)
23,Jin Soo Son,1,2748,Petr Yan (2018-09-15)
24,Marlon Moraes,4,2741,Jimmie Rivera (2018-06-01)
25,Junior dos Santos,17,2735,Stipe Miocic (2017-05-13)
26,Anderson Silva,22,2734,Daniel Cormier (2016-07-09)
27,Lyoto Machida,24,2733,Chris Weidman (2014-07-05)
28,Alexander Volkov,5,2732,Fabricio Werdum (2018-03-17)
29,Brock Lesnar,8,2731,Alistair Overeem (2011-12-30)
30,Carlos Condit,15,2724,Georges St-Pierre (2012-11-17)
31,Tonya Evinger,2,2723,Cris Cyborg (2017-07-29)
32,Daniel Teymur,2,2722,Danny Henry (2017-07-16)
33,Gegard Mousasi,12,2721,Chris Weidman (2017-04-08)
34,Luigi Vendramini,1,2721,Elizeu Zaleski dos Santos (2018-09-22)
35,Alexander Hernandez,2,2720,Beneil Dariush (2018-03-03)
36,Dan Henderson,18,2717,Michael Bisping (2016-10-08)
37,Cain Velasquez,14,2712,Fabricio Werdum (2015-06-13)
38,Fabricio Werdum,16,2703,Cain Velasquez (2015-06-13)
39,Kelvin Gastelum,14,2702,Michael Bisping (2017-11-25)
40,Mauricio Rua,18,2694,Lyoto Machida (2010-05-08)
41,Antonio Silva,11,2692,Cain Velasquez (2013-05-25)
42,Kevin Holland,1,2690,Thiago Santos (2018-08-04)
43,Jake Shields,8,2689,Georges St-Pierre (2011-04-30)
44,Frankie Edgar,24,2687,Benson Henderson (2012-08-11)
45,Tim Kennedy,5,2683,Kelvin Gastelum (2016-12-10)
46,Jalin Turner,1,2682,Vicente Luque (2018-10-06)
47,Dominick Cruz,6,2682,T.J. Dillashaw (2016-01-17)
48,Rory MacDonald,13,2679,Robbie Lawler (2015-07-11)
49,Khabib Nurmagomedov,11,2676,Conor McGregor (2018-10-06)
50,Ron van Clief,1,2673,Royce Gracie (1994-12-16)
51,Priscila Cachoeira,1,2670,Valentina Shevchenko (2018-02-03)
52,Montel Jackson,1,2670,Ricky Simon (2018-08-04)
53,Yana Kunitskaya,2,2669,Cris Cyborg (2018-03-03)
54,Alexander Gustafsson,14,2669,Jon Jones (2013-09-21)
55,Vitor Belfort,26,2665,Chris Weidman (2015-05-23)
56,Georges St-Pierre,22,2663,Michael Bisping (2017-11-04)
57,Glover Teixeira,15,2661,Jon Jones (2014-04-26)
58,Chad Mendes,13,2660,Jose Aldo (2014-10-25)
59,Rashad Evans,23,2652,Jon Jones (2012-04-21)
60,Mark Hunt,17,2649,Fabricio Werdum (2014-11-15)
61,Quinton Jackson,13,2647,Chuck Liddell (2007-05-26)
62,Tarec Saffiedine,6,2646,Rory MacDonald (2014-10-04)
63,Rafael dos Anjos,25,2644,Anthony Pettis (2015-03-14)
64,Antonio Rogerio Nogueira,11,2642,Ryan Bader (2016-11-19)
65,Chance Rencountre,1,2641,Belal Muhammad (2018-06-01)
66,Travis Browne,17,2640,Fabricio Werdum (2016-09-10)
67,Emil Weber Meek,3,2640,Kamaru Usman (2018-01-14)
68,John-Olav Einemo,2,2637,Dave Herman (2011-06-11)
69,Renzo Gracie,1,2637,Matt Hughes (2010-04-10)
70,Johny Hendricks,21,2634,Georges St-Pierre (2013-11-16)
71,Demian Maia,28,2633,Tyron Woodley (2017-07-29)
72,Robert Whittaker,13,2631,Yoel Romero (2018-06-09)
73,Darrel Gholar,1,2630,Evan Tanner (1999-01-08)
74,Stephen Thompson,13,2628,Johny Hendricks (2016-02-06)
75,Robbie Lawler,19,2628,Johny Hendricks (2014-12-06)
76,Josh Barnett,10,2627,Semmy Schilt (2001-06-29)
77,Hector Lombard,12,2623,Yushin Okami (2013-03-03)
78,Darren Till,7,2622,Tyron Woodley (2018-09-08)
79,Jorge Masvidal,15,2619,Donald Cerrone (2017-01-28)
80,Donald Cerrone,28,2618,Rafael dos Anjos (2015-12-19)
81,Jimi Manuwa,10,2617,Anthony Johnson (2015-09-05)
82,Ovince St. Preux,1,2616,Dominick Reyes (2018-10-06)
83,Francis Ngannou,8,2615,Stipe Miocic (2018-01-20)
84,Antônio Rodrigo Nogueira,11,2614,Fabricio Werdum (2013-06-08)
85,Anthony Johnson,19,2614,Daniel Cormier (2017-04-08)
86,Cody Garbrandt,8,2614,T.J. Dillashaw (2018-08-04)
87,Roger Gracie,1,2612,Tim Kennedy (2013-07-06)
88,Craig White,2,2610,Neil Magny (2018-05-27)
89,David Branch,7,2609,Luke Rockhold (2017-09-16)
90,Josh Thomson,7,2608,Benson Henderson (2014-01-25)
91,B.J. Penn,25,2606,Nick Diaz (2011-10-29)
92,Henry Cejudo,9,2605,Demetrious Johnson (2018-08-04)
93,Desmond Green,5,2605,Rustam Khabilov (2017-09-02)
94,Michael Bisping,29,2603,Luke Rockhold (2016-06-04)
95,Cody Stamann,4,2600,Aljamain Sterling (2018-09-08)
96,Ricardo Lamas,14,2598,Jose Aldo (2014-02-01)
97,Roy Nelson,19,2597,Daniel Cormier (2013-10-19)
98,Sheymon Moraes,2,2597,Zabit Magomedsharipov (2017-11-25)
99,Ryan Bader,20,2596,Anthony Johnson (2016-01-30)
100,Khalid Murtazaliev,1,2595,C.B. Dollaway (2018-09-15)
101,Nad Narimani,1,2594,Khalid Taha (2018-07-22)
102,Brian Ortega,7,2591,Frankie Edgar (2018-03-03)
103,Chan Sung Jung,5,2589,Jose Aldo (2013-08-03)
104,Randy Couture,24,2589,Chuck Liddell (2006-02-04)
105,Lorenz Larkin,10,2588,Neil Magny (2016-08-20)
106,Urijah Faber,16,2588,Frankie Edgar (2015-05-16)
107,Lando Vannata,5,2587,Tony Ferguson (2016-07-13)
108,Cub Swanson,16,2586,Frankie Edgar (2014-11-22)
109,Paul Daley,3,2586,Josh Koscheck (2010-05-08)
110,Derek Brunson,13,2586,Ronaldo Souza (2018-01-27)
111,Mike King,1,2585,Cathal Pendred (2014-07-19)
112,Alexandre Dantas,2,2581,Yuki Kondo (2000-09-22)
113,Mike Perry,8,2577,Santiago Ponzinibbio (2017-12-16)
114,Phil Davis,13,2577,Lyoto Machida (2013-08-03)
115,Chris Haseman,1,2575,Evan Tanner (2002-07-13)
116,Bobby Green,9,2575,Josh Thomson (2014-07-26)
117,Khalid Taha,1,2575,Nad Narimani (2018-07-22)
118,Tom Gallicchio,1,2574,James Krause (2017-07-07)
119,Gunnar Nelson,10,2572,Demian Maia (2015-12-12)
120,Jimmie Rivera,7,2570,Marlon Moraes (2018-06-01)
121,Kamaru Usman,8,2570,Demian Maia (2018-05-19)
122,Joe Giannetti,1,2569,Mike Trizano (2018-07-06)
123,Joe Slick,2,2569,Jason DeLucia (1999-11-19)
124,Uriah Hall,13,2569,Gegard Mousasi (2016-11-19)
125,Jake Ellenberger,21,2566,Jake Shields (2011-09-17)
126,Renato Moicano,6,2566,Cub Swanson (2018-08-04)
127,Julian Sanchez,1,2566,Mark Coleman (1996-09-20)
128,Quinn Mulhern,2,2564,Katsunori Kikuno (2014-01-04)
129,Alex Reyes,1,2562,Mike Perry (2017-09-16)
130,Minoki Ichihara,1,2561,Royce Gracie (1994-03-11)
131,Alberto Mina,4,2561,Ramazan Emeev (2018-05-12)
132,Costas Philippou,10,2561,Gegard Mousasi (2015-05-16)
133,T.J. Dillashaw,15,2560,Renan Barao (2014-05-24)
134,Joe Jordan,1,2560,Hermes Franca (2006-07-08)
135,Kamal Shalorus,3,2560,Jim Miller (2011-03-19)
136,Renan Barao,15,2558,Urijah Faber (2014-02-01)
137,Alex Oliveira,13,2557,Will Brooks (2016-10-01)
138,Edson Barboza,19,2557,Khabib Nurmagomedov (2017-12-30)
139,Ovince Saint Preux,17,2557,Jon Jones (2016-04-23)
140,Matt Horwich,2,2556,Ricardo Almeida (2009-04-01)
141,Charles Oliveira,21,2556,Frankie Edgar (2013-07-06)
142,Ben Rothwell,10,2555,Junior dos Santos (2016-04-10)
143,Matthew Lopez,5,2555,Raphael Assuncao (2017-11-11)
144,John Lober,1,2555,Frank Shamrock (1998-10-16)
145,Kevin Lee,13,2553,Tony Ferguson (2017-10-07)
146,Dmitriy Sosnovskiy,1,2553,Mark Godbeer (2018-03-17)
147,Wagner Prado,3,2552,Phil Davis (2012-08-04)
148,Andrei Arlovski,27,2551,Alistair Overeem (2016-05-08)
149,Tim Boetsch,23,2551,Ronaldo Souza (2017-02-11)
150,Nate Marquardt,25,2551,Vitor Belfort (2017-06-03)
151,Rose Namajunas,8,2550,Joanna Jedrzejczyk (2017-11-04)
152,Wanderlei Silva,12,2548,Quinton Jackson (2008-12-27)
153,Tito Ortiz,27,2548,Chuck Liddell (2006-12-30)
154,Tim Williams,2,2548,Eryk Anders (2018-08-25)
155,Pat Healy,6,2547,Khabib Nurmagomedov (2013-09-21)
156,Shane Carwin,6,2547,Junior dos Santos (2011-06-11)
157,Cung Le,4,2546,Rich Franklin (2012-11-10)
158,Joseph Morales,2,2545,Deiveson Figueiredo (2018-02-03)
159,Sean Soriano,3,2542,Tatsuya Kawajiri (2014-01-04)
160,Kevin Randleman,7,2542,Bas Rutten (1999-05-07)
161,Tony Ferguson,15,2542,Rafael dos Anjos (2016-11-05)
162,Yushin Okami,20,2542,Anderson Silva (2011-08-27)
163,Tatsuya Kawajiri,6,2542,Cub Swanson (2016-08-06)
164,Neil Magny,19,2541,Rafael dos Anjos (2017-09-09)
165,Dan Hardy,10,2541,Georges St-Pierre (2010-03-27)
166,Nate Diaz,23,2541,Conor McGregor (2016-03-05)
167,Holly Holm,9,2540,Cris Cyborg (2017-12-30)
168,Adam Yandiev,1,2540,Jordan Johnson (2018-09-15)
169,Mark Munoz,15,2539,Chris Weidman (2012-07-11)
170,Beneil Dariush,13,2539,Edson Barboza (2017-03-11)
171,Raoni Barcelos,1,2538,Kurt Holobaugh (2018-07-14)
172,Brian Kelleher,5,2537,John Lineker (2018-05-12)
173,Dustin Poirier,21,2536,Eddie Alvarez (2018-07-28)
174,Frank Mir,27,2536,Junior dos Santos (2012-05-26)
175,Damir Hadzovic,4,2535,Mairbek Taisumov (2016-04-10)
176,Lucio Linhares,2,2534,Yushin Okami (2010-03-31)
177,Claudia Gadelha,8,2534,Joanna Jedrzejczyk (2016-07-08)
178,Tim Sylvia,13,2534,Antônio Rodrigo Nogueira (2008-02-02)
179,David Zawada,1,2533,Danny Roberts (2018-07-22)
180,Forrest Griffin,15,2533,Anderson Silva (2009-08-08)
181,Demetrious Johnson,18,2533,Dominick Cruz (2011-10-01)
182,Josh Emmett,6,2532,Ricardo Lamas (2017-12-16)
183,Aljamain Sterling,11,2530,Brett Johns (2018-04-21)
184,Yancy Medeiros,12,2530,Alex Oliveira (2017-12-02)
185,Jesse Sanders,1,2530,Brock Larson (2009-04-01)
186,Derrick Lewis,15,2530,Alexander Volkov (2018-10-06)
187,John Dodson,14,2530,Demetrious Johnson (2015-09-05)
188,Jose Torres,2,2530,Jarred Brooks (2018-06-01)
189,Mehdi Baghdad,2,2529,Chris Wade (2016-01-17)
190,Thiago Alves,24,2529,Georges St-Pierre (2009-07-11)
191,Al Iaquinta,11,2527,Khabib Nurmagomedov (2018-04-07)
192,David Terrell,3,2527,Evan Tanner (2005-02-05)
193,Eddie Wineland,12,2527,Renan Barao (2013-09-21)
194,Karolina Kowalkiewicz,8,2526,Jessica Andrade (2018-09-08)
195,Francis Carmont,9,2524,Ronaldo Souza (2014-02-15)
196,Chad Griggs,2,2524,Travis Browne (2012-04-21)
197,Michael Johnson,19,2524,Khabib Nurmagomedov (2016-11-12)
198,Joanna Jedrzejczyk,11,2523,Rose Namajunas (2018-04-07)
199,Diego Sanchez,28,2523,Gilbert Melendez (2013-10-19)
200,Josh Hendricks,1,2523,Gabriel Gonzaga (2008-11-15)
201,Thiago Santos,16,2523,Gegard Mousasi (2016-07-09)
202,Jeff Joslin,1,2522,Josh Koscheck (2006-12-13)
203,Calvin Kattar,3,2522,Shane Burgos (2018-01-20)
204,Doo Ho Choi,5,2521,Cub Swanson (2016-12-10)
205,Cat Zingano,6,2520,Ronda Rousey (2015-02-28)
206,Rich Franklin,20,2520,Anderson Silva (2007-10-20)
207,Brandon Davis,4,2520,Zabit Magomedsharipov (2018-09-08)
208,Mads Burnell,3,2520,Michel Prazeres (2017-09-02)
209,Martin Kampmann,17,2519,Jake Ellenberger (2012-06-01)
210,Ramazan Emeev,3,2519,Sam Alvey (2017-10-21)
211,Ilir Latifi,10,2519,Ryan Bader (2016-09-03)
212,Krzysztof Jotko,10,2518,David Branch (2017-05-13)
213,Rousimar Palhares,12,2517,Nate Marquardt (2010-09-15)
214,Marcin Prachnio,2,2517,Sam Alvey (2018-02-24)
215,Thiago Silva,12,2517,Alexander Gustafsson (2012-04-14)
216,Brett Johns,5,2517,Pedro Munhoz (2018-08-04)
217,Jason Knight,8,2515,Ricardo Lamas (2017-07-29)
218,Luiz Dutra Jr.,2,2515,Tom Breese (2015-05-30)
219,Ali Bagautinov,7,2514,Demetrious Johnson (2014-06-14)
220,Raphael Assuncao,13,2514,T.J. Dillashaw (2016-07-09)
221,Clay Guida,26,2513,Tatsuya Kawajiri (2014-04-11)
222,Ryan LaFlare,10,2512,Alex Oliveira (2017-07-22)
223,Aleksandar Rakic,2,2512,Francimar Barroso (2017-09-02)
224,Yair Rodriguez,7,2512,Frankie Edgar (2017-05-13)
225,Nick Thompson,2,2511,Karo Parisyan (2006-04-15)
226,Rustam Khabilov,11,2511,Benson Henderson (2014-06-07)
227,Tsuyoshi Kosaka,6,2511,Bas Rutten (1999-01-08)
228,Max Griffin,5,2511,Curtis Millender (2018-07-07)
229,Brian Ebersole,8,2510,Chris Lytle (2011-02-27)
230,Miesha Tate,9,2510,Holly Holm (2016-03-05)
231,Carls John de Tomas,2,2509,Naoki Inoue (2017-06-17)
232,Yoshihiro Akiyama,7,2509,Vitor Belfort (2011-08-06)
233,Deiveson Figueiredo,4,2509,John Moraga (2018-08-25)
234,Marcin Tybura,7,2508,Fabricio Werdum (2017-11-19)
235,Myles Jury,11,2508,Donald Cerrone (2015-01-03)
236,James Vick,11,2508,Francisco Trinaldo (2018-02-18)
237,Luan Chagas,4,2508,Sergio Moraes (2016-05-14)
238,Colby Covington,10,2507,Rafael dos Anjos (2018-06-09)
239,Jon Fitch,18,2507,Georges St-Pierre (2008-08-09)
240,Santiago Ponzinibbio,10,2507,Gunnar Nelson (2017-07-16)
241,Gray Maynard,20,2506,Frankie Edgar (2011-01-01)
242,Evan Dunham,20,2505,Beneil Dariush (2017-10-07)
243,Chuck Liddell,23,2505,Randy Couture (2005-04-16)
244,Falaniko Vitale,2,2505,Matt Lindland (2003-06-06)
245,Jeremy Stephens,29,2504,Frankie Edgar (2016-11-12)
246,Ernest Chavez,3,2504,Elias Silverio (2014-05-31)
247,Valentina Shevchenko,6,2504,Amanda Nunes (2017-09-09)
248,Antonio Banuelos,1,2503,Miguel Torres (2011-02-05)
249,Corey Anderson,12,2502,Glover Teixeira (2018-07-22)
250,Juan Puig,2,2502,Doo Ho Choi (2014-11-22)
251,Israel Adesanya,3,2501,Brad Tavares (2018-07-06)
252,Thales Leites,21,2501,Anderson Silva (2009-04-18)
253,Max Holloway,18,2500,Jose Aldo (2017-06-03)
254,Masanori Kanehara,3,2499,Michael McDonald (2016-01-02)
255,Rashid Magomedov,6,2499,Beneil Dariush (2016-11-05)
256,Patrick Cummins,11,2499,Daniel Cormier (2014-02-22)
257,Bartosz Fabiński,3,2498,Garreth McLellan (2015-04-11)
258,Eryk Anders,5,2497,Thiago Santos (2018-09-22)
259,Elizeu Zaleski dos Santos,7,2497,Keita Nakamura (2016-10-01)
260,Paulo Costa,4,2497,Uriah Hall (2018-07-07)
261,Brian Stann,11,2497,Chael Sonnen (2011-10-08)
262,Aspen Ladd,2,2496,Tonya Evinger (2018-10-06)
263,Rick Glenn,5,2496,Evan Dunham (2016-09-17)
264,Tom Breese,5,2496,Keita Nakamura (2016-02-27)
265,Hacran Dias,8,2496,Ricardo Lamas (2014-06-28)
266,Amanda Lemos,1,2495,Leslie Smith (2017-07-16)
267,Nick Diaz,14,2495,Georges St-Pierre (2013-03-16)
268,Isaac Vallie-Flagg,4,2495,Matt Wiman (2014-11-22)
269,Rick Story,19,2494,Donald Cerrone (2016-08-20)
270,Sultan Aliev,3,2494,Bojan Velickovic (2016-12-17)
271,Igor Zinoviev,1,2493,Frank Shamrock (1998-03-13)
272,Rob Wilkinson,2,2493,Israel Adesanya (2018-02-11)
273,Timothy Johnson,7,2493,Alexander Volkov (2016-11-19)
274,Maia Stevenson,1,2492,Polyana Viana (2018-02-03)
275,Austin Arnett,2,2492,Cory Sandhagen (2018-01-27)
276,Jan Blachowicz,10,2492,Alexander Gustafsson (2016-09-03)
277,Kurt Holobaugh,2,2492,Raoni Barcelos (2018-07-14)
278,Teemu Packalen,3,2492,Marc Diakiese (2017-03-18)
279,Adriano Martins,7,2491,Leonardo Santos (2016-10-08)
280,Gilbert Yvel,3,2491,Junior dos Santos (2010-01-02)
281,Drakkar Klose,4,2491,Marc Diakiese (2017-07-07)
282,Sam Alvey,16,2490,Ramazan Emeev (2017-10-21)
283,Dominic Waters,3,2490,Dong Hyun Kim (2015-11-28)
284,Jim Miller,30,2489,Donald Cerrone (2014-07-16)
285,Tyler Diamond,1,2489,Bryce Mitchell (2018-07-06)
286,Matt Brown,24,2489,Donald Cerrone (2016-12-10)
287,Michael McDonald,9,2489,Renan Barao (2013-02-16)
288,Claudio Silva,3,2488,Nordine Taleb (2018-05-27)
289,Rob Font,8,2488,Raphael Assuncao (2018-07-07)
290,Homer Moore,1,2488,Evan Tanner (2001-11-02)
291,Roan Carneiro,9,2487,Ryan LaFlare (2017-02-11)
292,Ronda Rousey,8,2486,Amanda Nunes (2016-12-30)
293,Hakeem Dawodu,2,2485,Danny Henry (2018-03-17)
294,Rafael Cavalcante,5,2485,Ryan Bader (2014-06-14)
295,Curtis Blaydes,7,2485,Alistair Overeem (2018-06-09)
296,Petr Yan,2,2483,Jin Soo Son (2018-09-15)
297,Jason Novelli,2,2483,Polo Reyes (2016-11-05)
298,Josh Copeland,2,2483,Ruslan Magomedov (2014-11-22)
299,Diego Nunes,6,2483,Kenny Florian (2011-06-11)
300,Jared Cannonier,7,2482,Glover Teixeira (2017-02-11)
301,Josh Koscheck,25,2482,Georges St-Pierre (2010-12-11)
302,Chas Skelly,9,2482,Jason Knight (2017-05-13)
303,Ricky Simon,2,2482,Merab Dvalishvili (2018-04-21)
304,Patrick Cote,21,2480,Donald Cerrone (2016-06-18)
305,Glaico Franca,3,2480,James Vick (2016-04-23)
306,Vernon White,2,2480,Chuck Liddell (2004-08-21)
307,Sean Strickland,9,2480,Tom Breese (2016-06-04)
308,Renato Sobral,10,2480,Chuck Liddell (2006-08-26)
309,Anthony Lapsley,2,2480,Albert Tumenov (2014-05-10)
310,David Baron,1,2479,Jim Miller (2008-10-18)
311,Pedro Munhoz,10,2479,John Dodson (2018-03-03)
312,Sean Sherk,12,2479,B.J. Penn (2008-05-24)
313,Magomed Mustafaev,3,2478,Kevin Lee (2016-11-19)
314,Keith Jardine,13,2478,Chuck Liddell (2007-09-22)
315,Jussier Formiga,12,2478,Joseph Benavidez (2013-09-04)
316,Alexander Yakovlev,6,2477,Demian Maia (2014-05-31)
317,John Lineker,15,2477,T.J. Dillashaw (2016-12-30)
318,Rudyard Moncayo,1,2476,Patrick Smith (1995-07-14)
319,James Head,5,2476,Brian Ebersole (2012-07-21)
320,Albert Morales,6,2476,Brett Johns (2017-07-16)
321,Danny Henry,2,2476,Hakeem Dawodu (2018-03-17)
322,Davi Ramos,3,2476,Sergio Moraes (2017-03-11)
323,Joe Soto,8,2475,T.J. Dillashaw (2014-08-30)
324,Will Brooks,4,2475,Charles Oliveira (2017-04-08)
325,Jessin Ayari,2,2475,Jim Wallhead (2016-09-03)
326,Alex Nicholson,4,2475,Devin Clark (2016-07-13)
327,Jack Marshman,4,2475,Magnus Cedenblad (2016-11-19)
328,David Teymur,5,2475,Nik Lentz (2018-06-01)
329,Amanda Nunes,10,2474,Miesha Tate (2016-07-09)
330,Islam Makhachev,6,2474,Chris Wade (2016-09-17)
331,Sabah Homasi,3,2474,Tim Means (2016-08-20)
332,Yusuke Kasuya,2,2473,Alexander Volkanovski (2016-11-27)
333,Darren Elkins,19,2473,Alexander Volkanovski (2018-07-14)
334,Charles Rosa,5,2472,Dennis Siver (2014-10-04)
335,Stefan Struve,21,2472,Alexander Volkov (2017-09-02)
336,Bubba Bush,2,2470,Garreth McLellan (2015-10-24)
337,Jason Miller,3,2470,Michael Bisping (2011-12-03)
338,Shane Burgos,4,2470,Charles Rosa (2017-04-08)
339,Takanori Gomi,13,2469,Kenny Florian (2010-03-31)
340,Maiquel Falcao,1,2469,Gerald Harris (2010-11-20)
341,Polo Reyes,5,2469,James Vick (2017-05-13)
342,Kevin Souza,4,2469,Chas Skelly (2015-11-07)
343,Tony Martin,10,2468,Ryan LaFlare (2018-10-06)
344,Vladimir Matyushenko,12,2468,Tito Ortiz (2001-09-28)
345,Mostapha Al-turk,3,2467,Mirko Cro Cop (2009-06-13)
346,TJ Grant,11,2467,Gray Maynard (2013-05-25)
347,Heath Herring,5,2466,Antônio Rodrigo Nogueira (2007-07-07)
348,Mickael Lebout,3,2466,Stevie Ray (2015-10-24)
349,Ashley Yoder,3,2466,Mackenzie Dern (2018-03-03)
350,Zu Anyanwu,1,2466,Justin Ledet (2017-09-16)
351,Matt Hughes,25,2465,Georges St-Pierre (2007-12-29)
352,Kajan Johnson,7,2465,Rustam Khabilov (2018-09-15)
353,Eric Shelton,4,2465,Jarred Brooks (2017-07-29)
354,Paul Felder,11,2465,Francisco Trinaldo (2016-09-24)
355,Kenny Florian,17,2465,Jose Aldo (2011-10-08)
356,Matt Dwyer,4,2464,Randy Brown (2016-01-30)
357,Darrell Horcher,3,2464,Khabib Nurmagomedov (2016-04-16)
358,Brendan Schaub,11,2463,Travis Browne (2014-12-06)
359,Amar Suloev,2,2463,Chuck Liddell (2002-01-11)
360,Michael Chiesa,11,2463,Kevin Lee (2017-06-25)
361,Bryan Barberena,8,2463,Warlley Alves (2016-05-14)
362,Augusto Mendes,3,2462,Aljamain Sterling (2017-04-15)
363,Mike De La Torre,7,2462,Yui Chul Nam (2015-11-28)
364,Ian McCall,6,2462,Joseph Benavidez (2013-02-02)
365,John Moraga,14,2462,Magomed Bibulatov (2017-10-07)
366,Robert Drysdale,1,2462,Keith Berish (2014-07-06)
367,Ray Borg,8,2461,Demetrious Johnson (2017-10-07)
368,Jordan Mein,9,2461,Mike Pyle (2014-08-23)
369,Oliver Enkamp,2,2460,Nordine Taleb (2017-05-28)
370,Lina Lansberg,5,2460,Cris Cyborg (2016-09-24)
371,Andre Soukhamthath,4,2460,Luke Sanders (2017-12-09)
372,Salim Touahri,1,2460,Warlley Alves (2017-10-21)
373,Niko Price,7,2460,Alan Jouban (2017-08-05)
374,Dan Moret,1,2459,Gilbert Burns (2018-04-14)
375,Augusto Montano,3,2459,Cathal Pendred (2015-06-13)
376,Alexander Volkanovski,5,2459,Darren Elkins (2018-07-14)
377,Alan Omer,2,2459,Jim Alers (2014-04-11)
378,Jay Hieron,4,2458,Jake Ellenberger (2012-10-05)
379,Amaury Bitetti,2,2458,Don Frye (1996-05-17)
380,Michelle Waterson,6,2458,Tecia Torres (2017-12-02)
381,Joachim Christensen,4,2457,Gadzhimurad Antigulov (2017-05-13)
382,Brad Tavares,17,2457,Thales Leites (2017-10-07)
383,Dan Kelly,10,2457,Rashad Evans (2017-03-04)
384,Michael Graves,3,2457,Randy Brown (2016-04-16)
385,Anthony Smith,9,2456,Mauricio Rua (2018-07-22)
386,Leslie Smith,7,2456,Cris Cyborg (2016-05-14)
387,Vinicius Queiroz,1,2455,Rob Broughton (2010-10-16)
388,Adrian Serrano,1,2455,Shonie Carter (2000-06-09)
389,Luke Sanders,5,2454,Rani Yahya (2018-08-25)
390,Alessio Di Chirico,5,2454,Eric Spicely (2017-01-28)
391,Shane Young,2,2453,Alexander Volkanovski (2017-11-19)
392,Alan Jouban,11,2453,Gunnar Nelson (2017-03-18)
393,Carla Esparza,8,2453,Claudia Gadelha (2018-06-09)
394,Ryan Janes,4,2452,Gerald Meerschaert (2017-02-19)
395,Josh Samman,5,2452,Tamdan McCrory (2015-12-19)
396,Siyar Bahadurzada,6,2452,John Howard (2013-12-28)
397,Pedro Rizzo,14,2452,Randy Couture (2001-11-02)
398,Jason Tan,2,2452,Dong Hyun Kim (2008-05-24)
399,Tim Elliott,10,2451,Demetrious Johnson (2016-12-03)
400,Frank Trigg,7,2451,Matt Hughes (2003-11-21)
401,Mirsad Bektic,7,2451,Ricardo Lamas (2018-06-09)
402,Sarah Kaufman,4,2450,Valentina Shevchenko (2015-12-19)
403,Jack Hermansson,6,2450,Thiago Santos (2017-10-28)
404,Cindy Dandois,1,2450,Alexis Davis (2017-04-22)
405,Igor Araujo,4,2450,Ildemar Alcantara (2013-10-09)
406,Christophe Leininger,2,2450,Guy Mezger (1997-05-30)
407,Alexandre Ferreira,1,2450,Vladimir Matyushenko (2010-11-13)
408,Zak Cummings,9,2449,Michel Prazeres (2018-05-19)
409,Erick Silva,15,2449,Matt Brown (2014-05-10)
410,Stanislav Nedkov,4,2448,Tom Watson (2013-02-16)
411,Cris Cyborg,5,2448,Tonya Evinger (2017-07-29)
412,Alex Garcia,9,2448,Ryan LaFlare (2018-04-21)
413,Marcin Bandel,2,2448,Stevie Ray (2015-04-11)
414,Jordan Rinaldi,3,2448,Gregor Gillespie (2018-01-27)
415,Ross Pearson,25,2448,Will Brooks (2016-07-08)
416,Gabriel Gonzaga,22,2448,Mirko Cro Cop (2007-04-21)
417,Koji Oishi,2,2447,Nick Diaz (2005-06-04)
418,Ken Shamrock,15,2447,Tito Ortiz (2002-11-22)
419,Dan Ige,2,2447,Julio Arce (2018-01-20)
420,João Zeferino,2,2446,Elias Silverio (2013-09-04)
421,Mike Whitehead,1,2446,Keith Jardine (2006-02-04)
422,Alexandre Barros,1,2446,Martin Kampmann (2009-01-17)
423,Bart Palaszewski,4,2446,Hatsu Hioki (2012-02-26)
424,Dean Lister,6,2446,Nate Marquardt (2007-01-25)
425,Zach Makovsky,7,2446,Joseph Benavidez (2016-02-06)
426,Dave Herman,5,2446,Antônio Rodrigo Nogueira (2012-10-13)
